	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup14507	1	2	2	6	6	2	1	3	1	2	3	2	1	0	6	2	
isogroup14508	8	5	5	6	1	6	4	25	3	10	7	8	47	50	30	44	
isogroup14509	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	
isogroup1451	22	20	7	16	6	11	30	49	2	7	3	16	7	29	26	29	
isogroup14510	4	8	3	7	5	4	6	2	2	2	3	4	3	7	4	5	
isogroup14511	47	53	40	64	26	20	55	79	25	28	30	39	25	61	64	59	
isogroup14512	24	17	13	47	25	34	33	90	7	13	53	21	87	26	39	22	
isogroup14513	1	0	0	2	2	1	0	1	0	1	1	0	1	1	1	3	
isogroup14514	3	0	1	1	0	0	2	3	0	0	1	1	0	1	2	0	
isogroup14515	59	66	53	67	50	27	70	62	31	36	30	63	20	79	64	57	
isogroup14516	36	19	12	19	4	5	26	93	13	22	17	39	8	25	27	33	
isogroup14517	3	5	6	6	6	1	1	6	2	4	1	5	5	5	5	16	
isogroup14518	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	
isogroup14519	1	0	0	2	1	0	0	1	1	0	0	1	0	0	0	2	
isogroup1452	13	31	20	30	22	20	25	46	8	8	17	22	18	39	21	29	
isogroup14520	15	15	6	18	3	7	11	29	9	13	8	15	9	30	25	50	
isogroup14521	148	136	97	284	60	105	124	130	156	145	133	160	147	127	208	101	
isogroup14522	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	
isogroup14523	19	18	36	15	22	29	30	34	5	13	10	17	14	30	25	23	
isogroup14524	1	3	1	2	0	0	1	3	2	0	0	1	0	1	1	1	
isogroup14525	25	35	21	41	11	14	18	24	16	13	5	21	17	32	17	25	
isogroup14526	12	4	13	24	7	9	5	16	10	10	22	14	19	17	13	9	
isogroup14527	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup14528	3	17	8	15	4	16	8	13	4	7	4	13	7	12	11	11	
isogroup14529	41	38	8	61	29	50	21	33	47	52	22	13	26	26	23	16	
isogroup1453	31	90	54	45	21	45	13	19	9	9	22	18	27	36	25	26	
isogroup14530	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup14531	21	24	18	29	14	14	11	22	13	11	14	15	4	31	16	26	
isogroup14532	7	12	1	3	3	3	7	9	6	6	2	5	3	12	9	3	
isogroup14533	33	60	48	34	22	30	49	52	12	21	32	57	27	47	27	31	
isogroup14534	36	30	18	22	14	12	13	37	13	16	15	17	8	13	20	19	
isogroup14535	1	1	1	1	0	1	1	5	1	0	0	0	0	1	3	4	
isogroup14536	7	12	8	4	5	3	10	3	4	4	2	2	0	10	3	2	
isogroup14537	0	1	0	0	1	1	1	1	2	1	1	1	1	3	0	2	
isogroup14538	15	18	6	13	12	5	16	18	7	5	5	6	1	9	18	19	
isogroup14539	4	19	16	7	5	13	13	8	2	2	2	12	3	13	9	12	
isogroup1454	1	5	3	7	3	3	4	12	0	4	5	7	5	9	3	6	
isogroup14540	0	1	0	0	1	0	0	0	1	1	2	2	1	1	0	0	
isogroup14541	5	0	0	5	3	3	0	5	1	1	4	9	2	14	9	3	
isogroup14542	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	
isogroup14543	4	0	4	3	1	2	2	2	0	2	0	2	3	1	1	1	
isogroup14544	6	12	6	3	5	6	2	4	3	1	2	1	9	11	8	4	
isogroup14545	11	11	3	13	8	6	10	14	6	11	9	5	15	10	20	15	
isogroup14546	9	10	6	20	3	10	9	10	9	16	8	9	11	19	21	8	
isogroup14547	0	0	1	0	0	0	3	1	0	0	0	1	1	2	0	0	
isogroup14548	0	1	0	0	0	2	0	1	0	3	1	0	2	0	1	0	
isogroup14549	34	45	29	149	37	48	31	73	59	31	74	71	36	58	68	17	
isogroup1455	6	3	3	5	3	4	6	7	0	2	1	7	4	2	3	2	
isogroup14550	2	1	1	1	0	2	2	3	1	1	4	1	2	2	4	2	
isogroup14551	1	2	4	10	3	2	7	4	3	1	0	3	2	3	2	3	
isogroup14552	84	88	77	133	39	76	92	187	99	70	120	105	78	132	156	105	
isogroup14554	25	21	22	26	19	15	28	28	11	9	10	8	22	10	26	17	
isogroup14555	22	21	21	58	18	26	20	25	13	15	15	11	11	19	13	13	
isogroup14556	7	6	9	11	8	6	8	19	6	8	10	10	10	25	13	11	
isogroup14557	61	59	58	152	3	1	0	2	39	28	56	41	60	21	0	0	
isogroup14558	2	8	6	4	3	0	4	4	0	2	1	0	3	1	1	2	
isogroup14559	4	3	0	3	0	2	6	3	3	3	7	5	5	4	2	2	
isogroup1456	31	47	32	45	34	36	40	51	26	29	34	32	31	33	41	40	
isogroup14560	8	11	8	16	13	12	14	20	13	5	5	7	9	20	13	7	
isogroup14561	2	9	4	9	5	3	6	8	1	8	5	2	10	19	11	8	
isogroup14562	63	75	41	78	48	52	61	109	51	48	72	77	112	91	95	52	
isogroup14563	42	47	22	49	19	18	37	53	27	35	28	47	22	58	48	34	
isogroup14564	128	104	79	123	84	45	160	132	78	92	85	148	66	168	125	97	
isogroup14565	19	21	21	39	45	15	24	31	22	25	39	17	28	32	41	33	
isogroup14566	122	99	98	212	6	32	0	0	117	46	43	54	38	11	26	5	
isogroup14568	1811	1218	209	826	394	245	845	939	830	774	867	1132	211	616	829	710	
isogroup14569	26	29	31	39	21	21	33	53	18	19	27	55	22	76	31	67	
isogroup1457	4	5	4	3	7	4	5	7	7	2	5	9	0	5	4	8	
isogroup14570	0	3	0	0	0	0	1	1	0	1	0	0	1	1	2	1	
isogroup14571	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	2	
isogroup14572	2	4	6	3	5	1	5	2	2	3	1	1	6	3	6	3	
isogroup14573	135	130	76	113	88	67	102	166	48	81	69	91	39	85	78	50	
isogroup14574	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	
isogroup14575	100	117	169	144	142	123	145	159	75	81	86	147	72	183	132	117	
isogroup14576	14	12	9	11	8	8	10	16	6	11	6	13	12	22	24	16	
isogroup14577	15	7	13	10	6	6	12	14	17	9	9	13	18	12	5	9	
isogroup14578	21	32	14	9	16	12	26	40	15	13	14	23	14	48	21	47	
isogroup14579	0	0	0	1	7	1	7	5	2	1	2	8	1	2	2	2	
isogroup1458	217	355	393	337	197	273	256	373	136	156	172	178	238	305	223	179	
isogroup14580	74	61	30	84	45	26	88	136	39	35	60	74	45	92	57	69	
isogroup14581	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup14582	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	
isogroup14583	2	1	3	0	0	1	2	3	2	1	2	4	4	5	1	3	
isogroup14584	3	1	1	4	2	3	2	1	1	1	1	3	0	7	0	1	
isogroup14585	23	14	18	15	19	16	31	47	12	12	17	28	16	33	27	25	
isogroup14586	265	250	169	348	183	153	261	352	190	218	185	302	240	337	342	282	
isogroup14587	1	1	2	2	0	0	1	2	1	0	1	1	0	2	0	1	
isogroup14588	17	34	22	32	19	12	22	30	12	14	19	19	14	25	25	15	
isogroup14589	0	0	2	1	0	0	1	2	1	3	0	1	0	0	0	2	
isogroup1459	26	38	24	45	32	31	41	95	20	28	22	50	94	156	78	140	
isogroup14590	1	0	3	0	6	0	6	6	0	0	3	5	6	3	1	1	
isogroup14591	0	3	4	4	0	1	3	2	0	3	2	3	1	2	1	0	
isogroup14592	54	74	46	61	21	29	66	106	37	55	48	57	56	49	48	63	
isogroup14593	4	9	0	2	2	0	2	2	3	2	0	2	1	1	10	5	
isogroup14594	47	31	19	14	7	6	19	34	11	16	16	38	11	33	28	22	
isogroup14595	3	5	2	4	3	4	7	6	4	3	0	8	1	5	4	8	
isogroup14596	88	174	152	132	71	172	102	174	106	88	84	139	114	235	220	211	
isogroup14597	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	1	
isogroup14598	4	8	1	0	5	4	6	11	1	1	2	10	0	0	5	3	
isogroup14599	21	11	7	67	11	22	4	25	33	8	14	7	21	6	30	12	
isogroup146	34	54	73	44	138	17	188	127	19	24	61	147	22	113	79	100	
isogroup1460	93	105	101	108	104	42	113	123	55	49	64	118	47	114	84	87	
isogroup14600	0	16	22	12	15	12	10	8	19	11	7	7	10	10	29	17	
isogroup14601	15	16	12	16	2	7	11	8	14	19	34	23	16	11	13	9	
isogroup14602	6	8	6	8	10	3	8	13	10	12	6	15	7	11	10	8	
isogroup14603	25	14	17	28	18	14	31	34	13	24	26	22	10	18	33	20	
isogroup14604	15	20	26	10	17	18	22	32	8	11	5	11	10	21	12	8	
isogroup14607	5	1	4	1	4	0	4	8	1	1	2	4	3	7	8	1	
isogroup14608	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	
isogroup14609	124	150	247	157	159	79	171	218	49	118	139	118	75	164	88	116	
isogroup1461	65	121	99	129	85	63	82	116	44	59	60	75	39	143	90	89	
isogroup14610	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	
isogroup14611	3	11	11	15	5	9	5	7	2	6	8	7	6	13	10	3	
isogroup14612	0	0	1	2	3	1	2	4	1	2	0	3	2	2	1	1	
isogroup14613	13	7	7	20	21	13	21	24	21	10	9	18	10	19	22	13	
isogroup14614	17	8	7	11	8	9	9	16	5	4	12	10	6	3	7	7	
isogroup14615	34	39	9	43	29	94	51	87	62	69	46	40	29	8	82	47	
isogroup14616	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	
isogroup14617	96	94	45	100	52	57	66	143	65	45	96	81	77	98	141	64	
isogroup14618	38	56	56	53	81	19	106	87	45	52	35	59	10	36	34	26	
isogroup14619	0	2	0	0	4	0	4	2	0	5	1	0	1	0	0	2	
isogroup1462	38	18	23	45	20	16	29	61	28	43	32	36	14	27	27	16	
isogroup14620	25	40	33	44	56	28	49	67	15	25	27	47	14	17	60	52	
isogroup14621	1	1	2	0	1	0	2	2	2	1	0	1	0	2	1	1	
isogroup14622	2	0	2	1	3	4	5	7	0	2	3	5	3	2	7	2	
isogroup14624	63	117	85	107	114	81	114	117	67	72	57	68	72	113	67	61	
isogroup14625	4	7	7	5	5	9	8	9	5	2	5	6	3	7	11	4	
isogroup14626	3	2	0	2	3	0	1	1	0	1	4	1	2	3	1	2	
isogroup14627	4	1	3	3	4	1	3	6	0	2	1	6	0	1	3	5	
isogroup14628	2	7	3	4	1	2	1	2	1	2	2	4	3	2	3	2	
isogroup14629	54	47	39	95	27	28	57	82	42	45	45	48	22	62	73	41	
isogroup1463	40	55	33	55	38	28	40	86	32	28	39	33	39	69	63	53	
isogroup14630	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	
isogroup14631	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
isogroup14632	0	3	2	1	4	0	1	3	2	1	2	9	3	3	5	7	
isogroup14633	8	2	2	26	3	1	5	4	4	9	15	4	7	2	8	3	
isogroup14634	33	54	59	31	30	42	28	21	22	17	17	26	17	31	18	20	
isogroup14635	29	42	50	64	50	32	42	62	30	36	29	45	55	89	77	86	
isogroup14636	1	2	4	4	2	2	2	3	1	2	3	5	4	3	4	2	
isogroup14637	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup14638	0	0	2	2	0	0	0	1	1	0	0	1	0	1	0	1	
isogroup14639	0	7	1	14	2	5	4	6	10	8	2	3	6	5	3	2	
isogroup1464	24	28	39	34	37	15	39	55	19	19	12	32	18	49	32	26	
isogroup14640	5	12	10	16	11	10	11	14	11	7	9	19	6	18	23	9	
isogroup14641	1487	1633	981	2218	943	1255	1444	2785	1535	1425	1493	1790	2062	2516	2561	2024	
isogroup14642	2	5	3	6	5	8	5	6	2	4	5	5	10	4	4	5	
isogroup14643	1	4	2	3	5	6	7	7	3	1	3	4	2	5	5	3	
isogroup14644	6	7	1	2	6	3	8	6	4	0	1	2	0	1	8	4	
isogroup14645	1	1	1	3	1	0	2	1	1	0	0	1	1	3	0	0	
isogroup14646	56	118	84	127	63	37	110	143	42	85	76	86	27	146	107	63	
isogroup14647	21	20	12	230	5	106	12	21	98	101	110	29	63	20	113	13	
isogroup14648	15	16	10	13	5	3	13	14	3	6	15	17	20	26	20	25	
isogroup14649	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
isogroup1465	41	65	33	78	26	45	51	58	50	57	57	49	50	56	49	47	
isogroup14650	5	1	4	7	5	4	2	4	3	5	1	3	5	2	5	3	
isogroup14651	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
isogroup14652	70	34	46	34	62	21	149	244	4	9	53	256	47	106	92	148	
isogroup14653	39	20	10	31	2	22	12	35	24	17	17	14	42	24	31	9	
isogroup14654	15	19	5	22	6	5	8	8	19	12	7	10	11	15	15	8	
isogroup14655	19	21	20	22	15	13	31	59	15	12	16	28	10	51	33	41	
isogroup14656	1	0	4	3	7	2	5	0	1	1	0	4	0	5	1	1	
isogroup14657	0	2	2	0	0	0	0	0	0	0	1	1	0	1	0	1	
isogroup14658	30	59	57	53	21	33	32	47	21	22	14	34	26	50	25	33	
isogroup14659	4	8	6	6	4	2	12	10	2	2	1	8	3	3	4	6	
isogroup1466	124	114	103	82	69	58	81	120	37	58	51	77	42	137	75	60	
isogroup14660	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup14661	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	
isogroup14662	10	8	4	14	10	3	5	9	4	6	3	6	6	13	9	15	
isogroup14663	1	1	1	0	1	2	2	2	1	0	0	0	0	2	3	1	
isogroup14665	43	59	41	69	24	27	35	47	34	41	39	51	35	45	68	37	
isogroup14666	46	46	51	76	65	31	77	90	39	36	53	63	40	85	77	55	
isogroup14667	44	46	38	46	31	34	43	51	34	28	22	60	32	36	24	35	
isogroup14668	12	17	17	17	13	9	17	21	7	6	4	7	7	28	11	9	
isogroup14669	0	2	1	1	1	2	1	0	0	1	1	2	0	3	1	2	
isogroup1467	81	126	142	146	126	108	140	157	70	74	87	142	68	173	126	127	
isogroup14670	9	22	7	8	2	7	6	12	1	12	7	11	7	26	1	10	
isogroup14672	30	35	24	42	15	9	21	37	14	22	33	34	25	26	51	21	
isogroup14673	22	24	0	1	10	1	24	60	29	23	31	37	18	48	56	38	
isogroup14674	3	2	1	5	7	5	0	8	1	0	2	15	4	7	10	4	
isogroup14675	5	3	4	1	3	3	2	6	2	5	4	5	4	12	13	17	
isogroup14676	12	9	5	4	16	9	7	19	4	4	5	12	7	14	10	14	
isogroup14677	10	24	18	11	8	15	11	16	6	8	3	7	7	11	6	11	
isogroup14678	0	4	0	2	1	1	2	3	0	2	1	1	1	5	3	0	
isogroup14679	4	1	2	9	2	0	5	5	3	4	4	6	1	5	8	6	
isogroup1468	19	41	33	25	32	34	26	47	17	11	17	14	22	30	26	23	
isogroup14680	7	11	12	12	6	2	8	9	6	4	2	3	8	13	10	10	
isogroup14682	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
isogroup14683	1	3	2	1	1	0	2	6	0	0	4	0	7	5	3	0	
isogroup14685	24	17	14	41	8	4	20	30	18	18	11	6	8	18	14	8	
isogroup14686	5	11	0	0	3	6	10	15	4	5	4	0	1	2	15	12	
isogroup14687	437	387	360	831	222	396	477	653	421	507	493	543	501	650	651	473	
isogroup14688	29	31	22	25	11	13	25	36	11	17	19	26	36	47	37	27	
isogroup14689	14	20	24	30	17	19	18	25	14	15	14	17	13	20	16	15	
isogroup1469	25	31	24	33	38	27	19	40	14	9	15	28	21	39	42	25	
isogroup14690	1	2	0	0	0	0	4	4	0	0	0	0	0	0	0	0	
isogroup14691	18	16	17	21	20	12	24	14	17	15	10	33	17	28	31	30	
isogroup14692	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
isogroup14693	5	4	1	3	3	1	5	5	3	3	2	3	0	4	4	4	
isogroup14694	22	30	13	27	15	25	31	62	19	19	20	24	54	73	48	50	
isogroup14695	3	1	4	4	2	2	1	0	0	0	0	0	2	2	1	1	
isogroup14696	11	8	5	4	6	4	6	5	10	5	3	9	8	12	8	14	
isogroup14697	19	40	31	35	8	30	12	34	13	14	12	18	21	44	14	17	
isogroup14698	6	19	8	11	2	13	12	11	6	4	3	9	2	20	10	17	
isogroup14699	5	10	11	12	4	7	10	7	8	7	10	7	11	10	15	8	
isogroup147	107	96	103	127	120	85	69	95	54	63	73	106	75	144	122	97	
isogroup1470	20	75	54	45	34	43	26	36	20	19	19	35	18	33	32	24	
isogroup14700	30	48	15	33	11	6	33	45	10	17	17	23	11	41	23	23	
isogroup14701	7	6	8	5	7	2	4	7	4	4	6	7	2	11	5	6	
isogroup14702	10	3	6	15	5	3	19	10	4	6	8	18	2	11	6	12	
isogroup14703	35	33	6	10	9	5	22	28	10	15	7	7	11	20	17	20	
isogroup14704	20	12	22	25	29	12	18	26	14	11	15	14	14	23	26	16	
isogroup14705	26	32	21	34	16	19	36	38	16	28	15	49	20	58	24	47	
isogroup14706	51	57	46	116	40	72	56	77	74	71	69	52	74	79	126	53	
isogroup14708	6	11	9	6	8	6	18	23	3	6	8	11	4	15	7	9	
isogroup14709	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup1471	18	44	25	25	40	17	29	34	12	9	9	15	5	25	23	22	
isogroup14710	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	1	
isogroup14711	11	20	15	6	7	10	9	26	1	4	3	10	11	32	7	13	
isogroup14712	2	2	3	2	7	0	7	8	3	7	5	1	2	5	1	1	
isogroup14713	2	3	1	1	3	0	3	0	2	1	0	1	1	1	3	1	
isogroup14715	1	8	4	7	3	2	4	10	2	3	8	9	0	6	2	0	
isogroup14716	24	15	7	13	16	12	10	24	12	12	11	26	10	27	12	18	
isogroup14717	4	0	0	4	2	3	5	21	3	6	0	4	100	38	21	38	
isogroup14718	189	130	133	277	113	116	171	209	131	93	125	82	94	123	161	119	
isogroup14719	12	26	25	24	24	16	27	32	19	12	16	14	19	36	26	20	
isogroup1472	0	2	1	1	3	0	3	7	1	3	1	4	2	1	2	6	
isogroup14720	531	476	215	409	40	205	485	625	142	133	144	192	127	9	86	64	
isogroup14721	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup14722	22	35	19	56	20	16	44	43	34	27	29	26	29	59	37	32	
isogroup14723	17	32	5	11	0	13	4	8	15	4	5	8	6	13	3	6	
isogroup14724	2	3	2	8	2	3	6	15	0	3	1	4	0	3	3	1	
isogroup14725	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	
isogroup14726	23	27	26	23	12	17	20	55	14	22	19	26	70	64	36	62	
isogroup14727	2	1	0	0	1	0	2	0	0	0	0	0	0	1	0	1	
isogroup14728	7	6	4	9	3	5	6	4	1	2	2	4	7	8	4	6	
isogroup14729	5	5	0	10	6	1	3	9	3	2	6	7	3	7	6	5	
isogroup1473	177	241	130	167	128	58	140	231	127	178	120	184	66	215	154	197	
isogroup14730	38	64	40	64	14	25	31	89	23	21	24	40	43	131	54	63	
isogroup14731	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	
isogroup14732	4	9	6	3	3	2	4	6	3	1	2	8	1	1	3	4	
isogroup14733	1	4	1	1	0	1	0	3	1	0	0	1	2	2	1	2	
isogroup14734	1	4	0	2	1	2	3	1	1	1	2	2	1	3	1	3	
isogroup14735	0	1	3	1	3	0	0	3	0	0	2	2	0	5	5	1	
isogroup14736	0	4	1	2	3	2	4	3	1	2	2	0	0	4	2	4	
isogroup14737	0	0	1	4	1	1	2	2	1	0	0	1	2	3	4	0	
isogroup14738	5	5	5	5	7	7	4	9	3	2	3	6	5	3	0	4	
isogroup14739	9	13	8	11	8	5	13	11	4	4	8	5	13	9	4	13	
isogroup1474	0	7	3	1	1	0	3	7	2	1	1	1	1	6	3	7	
isogroup14740	2	6	3	0	0	5	1	1	1	3	1	0	0	2	1	3	
isogroup14742	2	2	0	2	5	4	4	3	1	2	3	1	0	4	5	2	
isogroup14743	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup14745	0	0	1	0	1	0	0	2	0	0	0	2	0	3	0	0	
isogroup14746	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	
isogroup14747	6	13	12	20	14	9	17	23	11	12	13	29	20	13	17	8	
isogroup14748	0	1	2	0	2	1	3	2	1	2	0	1	1	3	2	1	
isogroup14749	1	0	2	1	2	1	2	2	1	0	0	4	0	1	1	1	
isogroup1475	13	24	19	19	27	5	25	29	10	14	9	14	9	21	11	14	
isogroup14750	52	10	38	28	16	19	28	60	27	69	76	19	46	23	69	33	
isogroup14751	1	0	1	0	0	0	0	1	0	0	0	3	0	1	1	1	
isogroup14752	8	4	7	15	15	5	9	12	3	3	6	13	7	14	15	4	
isogroup14753	3	6	2	5	2	0	8	10	2	1	6	8	0	0	3	2	
isogroup14754	2	2	1	7	2	1	0	2	0	1	0	1	3	0	3	0	
isogroup14755	26	59	26	19	6	12	19	38	10	13	18	26	20	49	14	17	
isogroup14756	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup14757	2	0	0	2	1	1	2	3	2	1	1	1	0	3	0	0	
isogroup14758	0	6	12	3	1	14	1	8	2	1	1	4	1	7	2	6	
isogroup14759	21	19	8	13	8	7	15	11	7	8	11	7	6	9	14	9	
isogroup1476	115	131	95	105	94	60	130	153	80	90	88	151	92	123	170	122	
isogroup14760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup14761	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
isogroup14762	3	2	3	10	3	2	6	5	7	3	3	4	2	11	0	2	
isogroup14763	90	76	50	131	38	45	76	130	62	77	86	100	72	115	116	74	
isogroup14764	14	18	16	11	5	12	15	14	7	5	7	9	8	14	16	14	
isogroup14765	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup14766	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	
isogroup14767	13	29	17	24	13	14	25	38	8	24	11	30	38	62	34	56	
isogroup14768	1	1	3	4	2	0	1	5	2	1	1	1	4	3	7	1	
isogroup14769	2	2	4	2	3	2	0	2	1	0	0	3	2	2	1	2	
isogroup1477	3	10	7	3	7	4	4	4	4	5	3	2	3	8	6	10	
isogroup14770	36	65	45	51	10	34	34	47	21	38	43	42	39	44	47	30	
isogroup14771	28	14	1	1	9	1	10	13	3	32	14	16	6	14	17	3	
isogroup14772	0	1	2	1	0	0	0	1	1	1	2	1	0	0	0	0	
isogroup14773	4	2	0	2	3	0	1	2	0	0	1	1	0	2	2	2	
isogroup14774	167	176	137	272	77	116	161	141	87	127	121	153	103	183	134	119	
isogroup14775	43	57	36	86	17	58	39	100	42	34	23	59	68	138	57	91	
isogroup14776	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup14777	6	6	12	6	5	8	3	11	4	6	3	4	5	8	3	6	
isogroup14778	3	6	4	6	2	7	3	1	2	5	2	8	3	8	7	6	
isogroup14779	27	39	29	63	18	50	40	50	33	34	125	77	43	58	36	22	
isogroup1478	5	12	8	20	13	4	9	30	8	5	10	8	6	14	10	4	
isogroup14780	0	7	0	4	2	0	6	14	1	1	2	5	2	18	7	15	
isogroup14781	9	11	8	23	5	5	9	12	4	8	12	18	10	8	4	3	
isogroup14782	3	3	4	5	2	0	13	6	0	0	2	2	1	6	2	5	
isogroup14783	3	7	2	8	4	8	5	5	5	4	7	4	3	2	4	1	
isogroup14784	12	35	46	38	11	40	19	29	17	14	12	27	17	36	26	27	
isogroup14785	150	125	84	123	91	53	151	222	91	113	120	134	44	111	143	87	
isogroup14786	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	
isogroup14787	3	9	5	8	2	6	2	5	3	2	5	6	6	3	3	10	
isogroup14788	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup14789	6	7	11	11	7	11	12	7	16	5	0	7	8	2	11	5	
isogroup1479	9	18	18	36	13	7	5	10	7	14	14	11	20	18	14	16	
isogroup14790	1	1	1	4	0	4	3	3	3	4	4	1	11	2	3	4	
isogroup14791	66	19	15	24	20	54	49	165	51	26	71	62	29	39	67	34	
isogroup14792	151	111	86	279	84	109	105	171	145	126	199	142	174	162	151	81	
isogroup14793	98	106	85	105	60	46	56	88	63	77	65	89	60	87	104	77	
isogroup14794	0	0	0	1	0	0	0	0	0	0	0	0	2	10	0	8	
isogroup14795	6	7	5	7	8	4	4	11	4	8	7	8	5	7	3	7	
isogroup14796	23	22	29	26	21	19	33	37	6	12	7	15	13	42	33	18	
isogroup14797	122	139	69	143	69	77	130	226	90	99	107	139	115	169	222	131	
isogroup14798	6	7	15	18	7	12	10	21	5	0	11	12	3	11	5	6	
isogroup14799	1	0	1	1	2	1	2	2	0	1	1	1	0	0	1	1	
isogroup148	202	223	221	378	361	252	360	364	174	167	239	247	209	261	273	303	
isogroup1480	23	46	29	44	22	12	33	47	29	27	20	38	29	45	40	27	
isogroup14800	64	15	35	1286	15	114	50	102	448	50	58	47	56	21	38	11	
isogroup14801	1	2	2	3	2	2	2	1	1	4	1	1	2	2	1	0	
isogroup14802	21	35	25	35	23	25	37	51	14	22	35	43	42	34	35	35	
isogroup14803	3	1	3	1	4	1	4	2	0	1	2	2	0	1	3	3	
isogroup14804	0	1	3	1	1	5	8	3	3	0	2	1	0	1	2	2	
isogroup14805	6	5	4	5	6	3	21	26	2	5	11	13	6	20	14	13	
isogroup14806	8	4	3	7	9	7	6	30	4	5	1	9	5	10	5	7	
isogroup14807	0	0	0	0	2	1	1	4	1	1	1	3	1	13	3	15	
isogroup14808	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup14809	9	9	7	7	6	5	8	10	3	2	7	2	5	5	10	7	
isogroup1481	12	12	14	13	18	15	24	18	7	5	7	18	12	27	9	11	
isogroup14810	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	
isogroup14811	0	3	9	3	1	0	5	2	3	2	0	1	1	4	2	0	
isogroup14812	10	29	10	9	10	1	16	21	11	15	11	27	3	24	10	14	
isogroup14813	182	247	187	264	140	98	190	255	113	167	153	211	131	249	245	167	
isogroup14814	24	29	14	24	7	11	12	8	9	25	6	19	19	17	9	12	
isogroup14815	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup14816	7	6	5	6	3	6	7	10	4	4	5	3	5	16	5	7	
isogroup14817	166	157	163	220	85	41	171	303	60	79	99	92	94	194	233	143	
isogroup14818	4	2	7	13	4	1	13	6	4	3	2	2	6	12	7	6	
isogroup1482	24	26	31	35	26	30	28	63	19	16	18	27	51	49	54	49	
isogroup14820	2	9	10	5	2	6	2	5	0	0	1	2	1	2	6	4	
isogroup14821	4	6	2	7	4	5	7	5	4	4	4	3	3	3	8	2	
isogroup14822	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup14823	23	18	12	9	13	4	24	32	3	9	19	24	2	20	14	6	
isogroup14824	191	261	208	243	264	198	309	443	154	226	163	187	215	324	364	260	
isogroup14825	178	225	123	172	364	235	178	244	105	118	116	176	203	262	206	133	
isogroup14826	69	118	90	122	43	75	78	132	44	58	51	94	74	204	135	154	
isogroup14827	70	58	31	73	40	51	48	80	63	50	46	72	52	89	76	53	
